,production_companies
3375,Sony Pictures Classics
3376,Scott Free Productions
3377,
3378,"Sony Pictures Classics,Propaganda Films,Good Machine"
3379,"The Weinstein Company,L.I.F.T. Production,Holly Wiersma Productions"
3380,"BBC Films,Oscilloscope Laboratories"
3381,"Impact Productions LLC,Pinewood Studios,Big Book Media,EchoLight Studios"
3382,
3383,"Tijuana Productions,Tiberius Film Productions"
3384,"Mockingbird Pictures,Everest Entertainment"
3385,"Associated General Films,Sir Lew Grade"
3386,"Canal Plus,Gaumont International,France 3 Cinema"
3387,"American Zoetrope,Focus Features,Pathé!,Tohokushinsha"
3388,
3389,101st Street Films
3390,"DRO Entertainment,The Last Picture Company,CatchPlay,Corner Store Entertainment,Filmula,Handsomecharlie Films,American Work,Dreamagine Entertainment"
3391,"BBC Films,Isle of Man Film Commission,Recorded Picture Company (RPC),Pinewood Studios"
3392,"Epsilon Motion Pictures,Tango Films,My Cactus"
3393,British Broadcasting Corporation (BBC)
3394,"Double Feature Films,Endgame Entertainment,High Frequency Entertainment"
3395,"Wild Bunch,Likely Story,Tax Credit Finance,3 Arts Entertainment"
3396,"Lenfilm Studio,Sever Studio,Kanal Russia 1"
3397,"Immortal Thoughts,Three Good Men"
3398,"Reeleyes Film,Wah Film Productions Ltd.,Scion Films,Loma Nasha"
3399,"Franchise Pictures,Brood Syndicate,B.D.S. Productions Inc."
3400,Pegasus Motion Pictures
3401,American Zoetrope
3402,Bazelevs Production
3403,"Crest Animation Production,LionsGate"
3404,"Warner Bros.,Malpaso Company"
3405,"Metro-Goldwyn-Mayer (MGM),Kawoosh! Productions DTV I"
3406,"Gramercy Pictures,Alphaville Productions,The Criterion Collection"
3407,Disney Channel
3408,
3409,"NeeNee Productions,Capacity Pictures,May Day Movies"
3410,
3411,"Lawrence Bender Productions,El Camino Pictures,Go Fish Pictures"
3412,"Cobalt Media Group,Judgement Pictures,Hammond Entertainment"
3413,"A Bigger Boat,Relativity Media,FilmNation Entertainment"
3414,"TS Productions,Micro scope,Phi Group"
3415,"Fandango,Medusa Film,Tele+,Vice Versa Film"
3416,"Premiere Picture,Irish Film Board,Parallel Film Productions"
3417,"The Weinstein Company,Zazen Produções,Estúdios Mega,Quanta Centro de Produções Cinematográficas,Costa Films,Posto 9,Feijão Filmes,Universal Pictures do Brasil"
3418,"New Line Cinema,The Safran Company,Evergreen Media Group,RatPac-Dune Entertainment"
3419,
3420,Columbia Pictures Corporation
3421,"Columbia Pictures Corporation,New Visions Pictures"
3422,Universal Pictures
3423,"Filmways Pictures,Cinema 77 Films"
3424,Walt Disney Pictures
3425,Columbia Pictures
3426,Sony Pictures
3427,Universal Pictures
3428,Destination Films
3429,"MTM Cineteve,Bavaria Film,Constantin Film Produktion,Media Cooperation One"
3430,"HanWay Films,UK Film Council,Alliance Films,See-Saw Films,Film4,Lipsync Productions"
3431,"Sony Pictures Classics,Marv Films"
3432,
3433,Scott Free Productions
3434,"Killer Films,Hart-Sharp Entertainment"
3435,Filmfabriken Baltic Sea AB
3436,Oscilloscope Laboratories
3437,"T.H.E. Films,Phoenix Wiley,Eden Films"
3438,"Becker International,Claraflora,EM Media,NorthSee,Weinstein Company, The"
3439,"Orion Pictures,Pacific Western,Hemdale Film,Cinema 84,Euro Film Funding"
3440,"WDR,Arte,X-Filme Creative Pool"
3441,"BBC Films,Columbia Pictures Corporation,Screen Yorkshire,Left Bank Pictures,Screen Yorkshire Production Fund"
3442,"Hemdale Film Corporation,Fox Films Ltd.,Cinema 84"
3443,"Gramercy Pictures,Alphaville Films,View Askew Productions"
3444,"Paramount Pictures,Robert Stigwood Organization (RSO)"
3445,"Orion Pictures,Hemdale Film Corporation"
3446,"BIM Distribuzione,Fellowship Adventure Group"
3447,"Twentieth Century Fox Film Corporation,Campanile Productions,Newman-Foreman Productions"
3448,Walt Disney Productions
3449,"Paramount Pictures,Wildwood Enterprises"
3450,"United Artists,Seven Arts,Mirisch Pictures"
3451,"Orion Pictures,Warner Bros."
3452,
3453,MTV Films
3454,"Blue Parrot Productions,Bad Hat Harry Productions"
3455,New Line Cinema
3456,"Tapestry Films,Artisan Entertainment"
3457,"Saturn Films,Wild Bunch,Protozoa Pictures,Top Rope"
3458,"The Selznik Studio,Vanguard Films"
3459,Castle Rock Entertainment
3460,"AVCO Embassy Pictures,Goldcrest Films International,International Film Investors,City Film"
3461,"Columbia Pictures,40 Acres & A Mule Filmworks"
3462,"Revolution Studios,TriStar Pictures"
3463,Golden Harvest Company
3464,Castle Rock Entertainment
3465,"Night Light Films,The Samuel Goldwyn Company"
3466,"Paramount Pictures,Miramax Films,Intermedia Films,Mirage Enterprises"
3467,"40 Acres & A Mule Filmworks,Savoy Pictures"
3468,"Fox Searchlight Pictures,Cowboy Films,DNA Films,Scottish Screen,UK Film Council,Filmfour,Slate Films,Tatfilm"
3469,Trans Pacific Films
3470,"Castle Rock Entertainment,Horsethief Pictures,Mandalay Vision,Wind Dancer Productions,Detour Filmproduction"
3471,"3D Entertainment,Gavin McKinney Underwater Productions"
3472,"Fred Berner Films,Zeke Productions"
3473,Paramount Pictures
3474,"CBS Films,Also Known As Pictures"
3475,"NALA Films,Gary Sanchez Productions,Lions Gate"
3476,"Lucky Monkey Pictures,CineSon Entertainment,Filmsmith Productions,Medici Entertainment,Gremi Film Production"
3477,"UK Film Council,Crescendo Productions,Element Pictures,Irish Film Board,Prescience,Reprisal Films,Aegis Film Fund"
3478,Metro-Goldwyn-Mayer (MGM)
3479,American Zoetrope
3480,Miramax Films
3481,The Jacobson Company
3482,"Double Feature Films,Wild Bunch,Worldview Entertainment"
3483,"New Regency Pictures,Taurus Film,Polar Entertainment Corporation"
3484,"New Line Cinema,Killer Films"
3485,"Davis Films,Freestone Pictures"
3486,Dalia Films
3487,"Lions Gate Films,Cruise/Wagner Productions,Baumgarten Merims Productions"
3488,Numb Gums Production Inc.
3489,"i5 Films,Headquarters"
3490,Warner Brothers/Seven Arts
3491,"SBK Pictures,Occupant Entertainment"
3492,"United Artists,Starling Films"
3493,Company Pictures
3494,"Les Films 21,Republic Pictures"
3495,"McCreary Entertainment,Angel City Pictures"
3496,
3497,"Irish Dreamtime,Silverwood Films,Tax Credit Finance,Oceana Media Finance,Barbarian Films"
3498,IDG China Media
3499,"Firm Films,Bold Films,Holly Wiersma Productions"
3500,
3501,Twentieth Century Fox Film Corporation
3502,
3503,
3504,"Firm Films,Media 8 Entertainment,MDP Worldwide"
3505,"Signature Pictures,MDP Worldwide,Pomarance Corporation"
3506,Animus Films
3507,"StudioCanal,Mutual Film Company,2929 Productions,Magnolia Pictures,Madhouse Entertainment"
3508,"Octagon Films,Sepia Films"
3509,North by Northwest Entertainment
3510,
3511,"Universal Pictures,Famous Players Ltd,Guardian Trust Company,Filmplan International II"
3512,Mate Producciones S.A.
3513,Worldview Entertainment
3514,"Max TV,Prime Time,Isabella Films B.V.,Fu Works,Isabella Films"
3515,"Final Cut Productions,The Matthau Company"
3516,"Les Productions Artistes Associés,Les Films Ariane,Dear Film Produzione"
3517,
3518,"The Weinstein Company,Sahamongkol Film International,Vivendi"
3519,
3520,"Fox Searchlight Pictures,Kintop Pictures,Filmförderung Hamburg,UK Film Council"
3521,
3522,"360 Pictures,Dribble Productions,Platinum Equity"
3523,
3524,Filmax
3525,
3526,Universal Pictures
3527,"Twentieth Century Fox Film Corporation,Warner Bros.,Enigma Productions,The Ladd Company,Allied Stars, Ltd."
3528,Lions Gate Films
3529,"Fine Line Features,Australian Film Finance Corporation (AFFC),Film Victoria,South Australian Feature Film Company"
3530,"Voltage Pictures,Ram Bergman Productions,HitRecord Films"
3531,"Universal Pictures,Malpaso Productions"
3532,"United Artists,Jersey Films,Granada Film Productions,Capitol Films,Mr. Mudd Production"
3533,"Miramax Films,BBC Films,Intermedia Films"
3534,Marimark Productions
3535,"France 2 Cinéma,Galatée Films,Pathé Renn Productions,Novo Arturo Films,Vega Film"
3536,icon
3537,Lions Gate Films
3538,"Universal Pictures,40 Acres & A Mule Filmworks"
3539,"Lions Gate Films,Worldwide Media"
3540,
3541,"Eskwad,StudioCanal,Wild Bunch,Les Cinémas de la Zone,Nord-Ouest Productions,Canal+,120 Films"
3542,"Warner Bros.,Yoshimoto Kogyo Company"
3543,"Flicks Motion Pictures,UTV Motion Pictures"
3544,
3545,Mandalay Vision
3546,Ascot Elite Home Entertainment
3547,
3548,"Nordisk Film,Yellow Bird Films,Friland Produksjon,ARD Degeto Film"
3549,"Irish Film Board,Samson Films,Forward Films,High Treason Productions,Nvizible"
3550,"Alliance Atlantis Communications,Amaze Film + Television,Running Miracles Productions"
3551,Maipo Film- og TV Produksjon
3552,Rastar Pictures
3553,
3554,"Sony Pictures,FilmDistrict"
3555,"Lions Gate Films,Got Films,Twisted Pictures,Evolution Entertainment,Saw 2 Productions"
3556,"Paramount Pictures,Bad Robot,Spectrum Effects"
3557,"Paramount Pictures,MTV Films,Dickhouse Productions,Lynch Siderow Productions"
3558,"New Line Productions,Matter Productions,Atomic Monster"
3559,"Paramount Pictures,Blumhouse Productions,Room 101,Solana Films"
3560,"Universal Pictures,Dentsu Inc.,Platinum Dunes,Media Rights Capital,Blumhouse Productions,Fuji Television Network,Hasbro Studios,5150 Action,White Noise Factory"
3561,"New Line Cinema,Smart Egg Pictures"
3562,"Filmax,Signature Entertainment,Pinema,Pantelion Films"
3563,"Paramount Pictures,Blumhouse Productions,Room 101,Solana Films"
3564,Twentieth Century Fox Film Corporation
3565,"United Artists,Jewel Productions,Pimlico Films,Incorporated Television Company (ITC)"
3566,New Line Cinema
3567,Newmarket Films
3568,Walt Disney Productions
3569,"Blumhouse Productions,Room 101,Solana Films"
3570,Brooksfilms
3571,"Universal Studios,Universal Pictures,Voltage Pictures,Truth Entertainment"
3572,"Lionsgate,Blumhouse Productions,Chapter One Films"
3573,"Summit Entertainment,Newmarket Capital Group,Team Todd,I Remember Productions"
3574,"Intrepid Pictures,Blumhouse Productions,Relativity Media,WWE Studios,MICA Entertainment"
3575,"The Weinstein Company,View Askew Productions"
3576,"BBC Films,Tiger Aspect Productions,StudioCanal,Arts Council of England,Working Title Films,WT2 Productions"
3577,"Fox Searchlight Pictures,Odd Lot Entertainment,Sycamore Pictures"
3578,
3579,Cambridge Productions
3580,Walt Disney Pictures
3581,Butcher's Run Productions
3582,Paramount Pictures
3583,"The Weinstein Company,Likely Story,Big Beach Films,Yuk Films"
3584,"Forecast Pictures,Solofilms,JoBro Productions & Film Finance,Trinity Race"
3585,New Line Cinema
3586,"Universal Pictures,Legendary Pictures,Brothers Dowdle Productions"
3587,"Lionsgate,Codeblack Entertainment"
3588,
3589,"Killer Films,Big Indie Pictures,Backup Media,BSM Studio"
3590,Twentieth Century Fox Film Corporation
3591,"Universal Pictures,Martin Poll Productions,The Production Company"
3592,"Paramount Pictures,Sean S. Cunningham Films,Horror Inc."
3593,"Home Box Office (HBO),Playtone,Gold Circle Films,Ontario Film Development Corporation,MPH Entertainment Productions"
3594,"RabbitBandini Productions,Division Films,Pop Films,Radar Pictures,Muse Productions,MJZ,O' Salvation,Iconoclast"
3595,Miramax Films
3596,"Bésame Mucho Pictures,Producciones Anhelo,The Criterion Collection"
3597,"Universal Pictures,Big Talk Productions,StudioCanal,Film4,Working Title Films,WT2 Productions,De Wolfe Music,Inside Track 2"
3598,"Freestyle Releasing,Liddell Entertainment"
3599,"Castle Rock Entertainment,Columbia Pictures Corporation,Rio Dulce"
3600,Dimension Films
3601,"Paramount Pictures,Hometown Films,YCTM"
3602,Metro-Goldwyn-Mayer (MGM)
3603,"1818,Lone Wolf McQuade Associates,Topkick Productions"
3604,"Bazelevs Production,Dimension Films,Bekmambetov Projects Ltd."
3605,"Back Lot Pictures,Overture Films,Big Beach Films"
3606,"Bold Films,Living Films,Brothers Dowdle Productions"
3607,"Antares Produzione Cinematografica,Metro-Goldwyn-Mayer (MGM)"
3608,Edward Small Productions
3609,Open Road Films (II)
3610,
3611,Paramount Pictures
3612,"Lionsgate,Jorva Entertainment Productions"
3613,"Saban Entertainment,Toei"
3614,
3615,"Pyramide Productions,Cinémaginaire Inc.,Téléfilm Canada,The Harold Greenberg Fund,Astral Films,Canal+,Société Radio-Canada,Société de Développement des Entreprises Culturelles (SODEC),Centre National de la Cinématographie (CNC)"
3616,"Columbia Pictures Corporation,Rastar Pictures"
3617,"Screen Gems,Sony Pictures Entertainment,Egmont Film,Columbia TriStar Home Entertainment"
3618,Columbia Pictures Corporation
3619,"Orion Pictures,Cinecorp"
3620,"Twentieth Century Fox Film Corporation,Happy Madison Productions"
3621,Fox Searchlight Pictures
3622,"Paramount Pictures,Rafran Cinematografica,Finanzia San Marco"
3623,Artisan Entertainment
3624,"Liberty Films UK,Lunar Industries,Xingu Films,Limelight Fund"
3625,
3626,"N3D Land Productions,Mantello Brothers Productions"
3627,"Fine Line Features,Alliance Communications"
3628,"Why Not Productions,Armada Films,France Télévision,Cinémage 4,Cofinova 6,Soficinéma 6"
3629,"Zininsa Film Production,Intellectual Properties Worldwide"
3630,
3631,"WingNut Films,Miramax Films,New Zealand Film Commission,Fontana Productions"
3632,"Emmett/Furla Films,Giving Films"
3633,"Birdsong Pictures,IM Global"
3634,"Castle Rock Entertainment,Columbia Pictures Corporation,Manifest Film Company"
3635,"Filmax Entertainment,Castelao Producciones,Canal+ España,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),ICF"
3636,"Fine Line Features,Live Entertainment,Seven Arts,Carolco Pictures"
3637,"The Combine,Bluegrass Films"
3638,Olympus Pictures
3639,ContentFilm
3640,"Film Science,Broad Green Pictures"
3641,"Cold Iron Pictures,Ambush Entertainment,AV Club, The"
3642,Atlas 3 Productions
3643,"Gracie Films,Columbia Pictures Corporation"
3644,"Miramax Films,Albino Alligator Productions"
3645,
3646,Sony Pictures Classics
3647,Robson Street
3648,Eden Rock Media
3649,
3650,RKO Radio Pictures
3651,"Ignite Entertainment,HSX Films"
3652,
3653,"Blumhouse Productions,Blinding Edge Pictures"
3654,"HDNet Films,The Film Farm"
3655,Quality Films Entertainment
3656,Insurge Pictures
3657,"Filmax Entertainment,Castelao Producciones,Cubica"
3658,"Isle of Man Film,UK Film Council,Screen Yorkshire,Steel Mill Pictures"
3659,Metro-Goldwyn-Mayer (MGM)
3660,FOTP Productions
3661,
3662,"Unified Pictures,Amberdale Productions,Tee Rob Pictures"
3663,Henry & Me Productions
3664,Unstuck
3665,"Johnson Production Group,Silver Screen Pictures"
3666,"TinRes Entertainment,Over Under Media"
3667,"Jewson Film,Born of War"
3668,"Associated General Films,Incorporated Television Company (ITC)"
3669,Phillybrook Films
3670,New Kingdom Pictures
3671,"Invincible Pictures Corp.,Abbolita Productions,Destro Films"
3672,"Hollywood Media Bridge,Throne Productions"
3673,
3674,"Corazón International,Biograf Jan Svěrák"
3675,Miramax Films
3676,"BBC Films,Studio Canal,Creative Scotland,Origin Pictures,Lipsync Productions"
3677,"International Production Company,Raw Nerve,Lionsgate,Next Entertainment,Screen Gems,Hostel LLC"
3678,"Revolution Films,BBC Films,Baby Cow Productions,EM Media,Scion Films,East Midlands Media Initiative"
3679,"Hydraulx,REI Capital,Grove Hill Productions,Strange Matter Films"
3680,New Sky Communications Inc.
3681,
3682,Lost Rhino Films
3683,Cannon Films
3684,Metro-Goldwyn-Mayer (MGM)
3685,"Gaumont,Wild Bunch,Bold Films,Film i Väst,A Grand Elephant"
3686,
3687,
3688,"Scottish Screen,Pathé Pictures International,UK Film Council,Inside Track Productions,Sigma Films,Scorpio Films"
3689,New Real Films
3690,"Canal+,TPS Star,Delante Films,TF1 Droits Audiovisuels"
3691,"Rhombus Media,Mecanismo Films,Redrum"
3692,"Celluloid Dreams,Killer Films,John Wells Productions,Montfort Producciones"
3693,
3694,"Warner Bros.,The Ladd Company"
3695,Columbia Pictures Corporation
3696,"Channel Four Films,PolyGram Filmed Entertainment,Working Title Films"
3697,"Universal Pictures,Refugee Films"
3698,"Warner Bros.,Moulin Productions Inc."
3699,"40 Acres & A Mule Filmworks,Touchstone Pictures"
3700,"Dino De Laurentiis Company,Spelling Films"
3701,Artisan Entertainment
3702,Twentieth Century Fox Film Corporation
3703,Adela Pictures
3704,Hemdale Film
3705,"TriStar Pictures,Provident Films,Pure Flix Entertainment,Affirm Films,FourBoys Entertainment"
3706,"Pandora Cinema,Flower Films,Adam Fields Productions"
3707,
3708,"First Floor Features,Almerica Films"
3709,"Muse Productions,Brink Films,Silver Nitrate"
3710,Werc Werk Works
3711,"CJ Capital Investment,Korea Capital Investment,Moho Films,TSJ Entertainment,Samsung Venture Capital,Ilshin Capital Investments,Centurion Investment"
3712,Les Films Alyne
3713,SKA Films
3714,"Media Asia Films,Milky Way Image Company"
3715,"Quickfire Films,Televisión Española (TVE),Arcadia Motion Pictures,Noodles Production,Canal+ España,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),Instituto de Crédito Oficial (ICO),ONO,Ariane Mararía Films,Nix Films,Eter Pictures,Manto Films,Pegaso Producciones,Ibermedia European Community Program,Audiovisual Aval SGR"
3716,"Det Danske Filminstitut,Memfis Film,Film i Väst"
3717,"Plum Pictures,Harbor Light Entertainment,Lleju Productions"
3718,
3719,"United Artists,Fantasy Films,Warner Bros."
3720,EveryWhere Studios
3721,Crossbow Productions
3722,"T-Series,Hari Om Entertainment Co.,Cape Of Good Films"
3723,Sullivan Entertainment
3724,Strohberry Films
3725,"Vertigo Films,Exponential Films,Embargo Films"
3726,"Fox Searchlight Pictures,Kanzaman,Filmfour,Recorded Picture Company (RPC)"
3727,"Tre Vänner Produktion AB,Swedish Film Institute,Film i Väst"
3728,South Pacific Pictures
3729,A B Corp
3730,"Telepool,Atlantis Pictures,Schweizerische Radio- und Fernsehgesellschaft (SRG),Ascot Elite Entertainment Group,Egli Film,Teleclub AG,Centauri Media"
3731,Disney Channel
3732,"Arts Council of England,British Broadcasting Corporation (BBC),British Screen Productions"
3733,"Bazelevs Production,Channel One Russia,TABBAK,The First Channel"
3734,"Miramax Films,Channel Four Films,Palace Pictures,Nippon Film Development and Finance Inc.,Eurotrustees,British Screen Productions"
3735,"Melvin Simon Productions,Astral Bellevue Pathé"
3736,"Devonshire Productions,Artfire Films,New Romero,Sudden Storm Productions,Blank of the Dead Productions"
3737,"Laurel Group,Off Color Films,Image Ten,Market Square Productions"
3738,American Zoetrope
3739,United Artists
3740,Paramount Pictures
3741,"Lions Gate Films,Lee Daniels Entertainment"
3742,"Lionsgate,Grindstone Entertainment Group,Silver Reel,Sly Predator,Matt Baer Films,Gold Star Films,Lotus Entertainment (I)"
3743,"United Artists,Intial Productions"
3744,Tribeca Productions
3745,Universal Studios
3746,"Universal Pictures,Nuyorican Productions,Blumhouse Productions,Smart Entertainment"
3747,Joanna Productions
3748,"Mandalay Vision,10th Hole Productions,Focus Features,Gilbert Films,Saint Aire Production,Artist International,Antidote Films (I),Artist International Management"
3749,"Universal Pictures,Alive Films,Larry Franco Productions"
3750,"United Artists,The Mirisch Corporation"
3751,Lord of the Wind
3752,"StudioCanal,CBS Films"
3753,"IFC Films,Detour Filmproduction"
3754,"BBC Films,Ingenious Film Partners,Ingenious Media,Perdido Prod."
3755,Lionsgate
3756,
3757,"ContentFilm,Pierce/Williams Entertainment"
3758,"United Artists,Seven Arts Productions"
3759,"Miramax Films,IFC Films,Fortissimo Films"
3760,"Caravan Pictures,Touchstone Pictures"
3761,"Wild Bunch,Telecinco,Telecinco Cinema,Televisió de Catalunya TV3,Esta Vivo! Laboratorio de Nuevos Talentos,Grupo Rodar,Rodar y Rodar Cine y Televisión,Warner Bros. Pictures de España"
3762,"Automatik Entertainment,Open Road Films"
3763,Kingsgate Films
3764,Universal Pictures
3765,Universal Pictures
3766,"Miramax Films,A Band Apart"
3767,"Slough Pond,double A Films"
3768,
3769,"Cineplex-Odeon Films,Ten-Four Productions"
3770,"Sony Pictures Classics,Castle Rock Entertainment,Pale Morning Dun,All Night Productions"
3771,
3772,"Echo Lake Productions,Bi-polar Pictures,Code Entertainment,Independent Film Group,Carol Baum Productions,Dillinger Productions,Green Tulip Productions"
3773,"Sony Pictures Classics,Bob Yari Productions"
3774,"The Harvey Boys,NVSH Productions,Phase 4 Films"
3775,"Destination Films,Jim Henson Company, The"
3776,Magidson Films
3777,Cannon Films
3778,"Goldcrest Films International,Atlantic Pictures,Gigi Productions"
3779,"Protozoa Pictures,Cargo Entertainment,33 Pictures"
3780,Gold Circle Films
3781,"Summit Entertainment,Newmarket Capital Group,Red Mullet Productions"
3782,"Pandora Filmproduktion,Canal+"
3783,"Worldview Entertainment,Muskat Filmed Properties,Dreambridge Films,Rough House Pictures"
3784,"Arts Council of England,National Lottery,Gruber Bros.,Tomboy Films,Winchester Multimedia PLC"
3785,Empire Pictures
3786,"New Oz Productions,Red Horse Films"
3787,
3788,"Eficine 226,Beanca Films,Fondo de Inversión y Estímulos al Cine (FIDECINE),MPN Cologne Film 3"
3789,"Nu Image Films,Millennium Films,Dark Harbor Stories"
3790,"Columbia Pictures,DreamWorks SKG,Baltimore Spring Creek Productions,Bayahibe Films Ltd."
3791,"Arts Council of England,British Broadcasting Corporation (BBC),British Screen Productions"
3792,"Gaumont,Ciné@,Canal+,Screen Australia,Screen NSW,France Télévisions,France 2 Cinéma,Hopscotch Features,Mon Voisin Productions"
3793,"Ventanarosa Productions,Cineville,Columbia TriStar Home Video,Dan Lupovitz Productions"
3794,"Vía Digital,Eurimages,Continental Producciones,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),Televisión de Galicia (TVG) S.A.,Antena 3 Televisión,Sogepaq,Elías Querejeta Producciones Cinematográficas S.L.,Mediapro,Quo Vadis Cinéma,Eyescreen S.r.l."
3795,"Glass Eye Pix,Belladonna Productions,Off Hollywood Pictures"
3796,"Tapestry Films,The Kushner-Locke Company,Bates Entertainment"
3797,"Coração da Selva,Hank Levine Film,Detailfilm,Watchmen Productions"
3798,Filmula
3799,"Carnaby International,Molinare Studios,Eigerwand Pictures"
3800,
3801,Marmot-film
3802,Columbia Pictures Corporation
3803,"IFC Films,Myriad Pictures,Alliance Films"
3804,The Caddo Company
3805,
3806,Blumhouse Productions
3807,"Omnilab Media,Ambience Entertainment,Screen Australia,Film Victoria"
3808,Brian Barrett Pictures
3809,"Annuit Coeptis Entertainment Inc.,Annuit Coeptis Entertainment II"
3810,"Divine Inspiration, The Fabulous Boomtown Boys"
3811,"Columbia Pictures Corporation,Highland Films"
3812,"United Artists,Metro-Goldwyn-Mayer (MGM)"
3813,"Selznick International Pictures,Metro-Goldwyn-Mayer (MGM)"
3814,"Head Gear Films,Lipsync Productions,May 13 Films,CrossDay Productions Ltd.,Morocco Film Assistance"
3815,"Columbia Pictures Corporation,Jerry Bresler Productions"
3816,Metro-Goldwyn-Mayer (MGM)
3817,"Film4,Drafthouse Films,Warp Films,Wild Bunch Distribution"
3818,
3819,"Alliance Films,Darius Films,Insight Film Releasing"
3820,Metro-Goldwyn-Mayer (MGM)
3821,Nimbus Film Productions
3822,"DNA Films,BBC Films,UK Film Council"
3823,"United Artists,Florin Productions,Jerome Hellman Productions"
3824,"Channel Four Films,Twentieth Century Fox Film Corporation,Redwave Films"
3825,Paramount Pictures
3826,"Hollywood Media Bridge,LionsGate,Clear Lake Entertainment,Dog and Pony Media"
3827,New Line Cinema
3828,New Line Cinema
3829,"New World Pictures,Laurel Entertainment Inc."
3830,Warner Bros.
3831,"Columbia Pictures Corporation,Pax Enterprises"
3832,Warner Bros.
3833,Warner Bros.
3834,Universal Pictures
3835,"Parts and Labor,RT Features,Rooks Nest Entertainment,Maiden Voyage Pictures,Pulse Films,Scythia Films,Code Red Productions,Mott Street Pictures,Very Special Projects"
3836,"Dimension Films,No Limit Films"
3837,Fox Searchlight Pictures
3838,"Lions Gate Films,Flashpoint (I),Showtime Networks"
3839,"100 Bares,Haddock Films S.R.L.,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),Televisión Española (TVE),Tornasol Films,Canal+ España,Ministerio de Cultura,Instituto de Crédito Oficial (ICO),Televisión Federal (Telefe)"
3840,"Nu Image Films,Millennium Films"
3841,"Renaissance Films,Rosebud Productions"
3842,
3843,"The Asylum,Syfy,Southward Films"
3844,
3845,"Filmkameratene A/S,Film Fund FUZZ,SF Norge A/S"
3846,
3847,"Yari Film Group,Stratus Film Co."
3848,"Destination Films,Andrea Sperling Productions,Screen Gems,Anonymous Content"
3849,Freestyle Releasing
3850,Metro-Goldwyn-Mayer (MGM)
3851,Counterclock Productions
3852,
3853,"Anthem Pictures,It's An Us Thing Productions Inc."
3854,"DC Comics,Warner Bros. Animation,Warner Premiere,DC Entertainment"
3855,Representational Pictures
3856,
3857,"NAZZ Productions,Industrial Entertainment,Primary PIctures,Thunder Smoke Media,VMI Worldwide"
3858,Enderby Entertainment
3859,
3860,"Twentieth Century Fox Film Corporation,Crossbow Productions"
3861,"Wild Bunch,Canal+,Buena Vista International Film Production France,Alliance de Production Cinematographique (APC),L'Institut Polare Français Paul-Émile Victor,National Geographic Films,Bonne Pioche"
3862,"Benaroya Pictures,Before the Door Pictures,Washington Square Films,Untitled Entertainment"
3863,
3864,"Fox Searchlight Pictures,Contrafilm,ATO Pictures,Aramid Entertainment Fund,Dune Entertainment III,Choke Film"
3865,"Bold Films,Blumhouse Productions,Right of Way Films"
3866,"O2 Filmes,VideoFilmes,Wild Bunch,Globo filmes,Lumiere,Hank Levine Film,Lereby Productions"
3867,Irish Screen
3868,"Two Streets Entertainment,Birchwood Pictures,Noble Pictures,Valencia Motion Pictures"
3869,"Lakeshore Entertainment,Bruin Grip Services,Pitbull Pictures"
3870,"Zentropa Entertainments,Det Danske Filminstitut,Danmarks Radio (DR),Eurimages,MEDIA Programme of the European Union,Sveriges Television (SVT),Svenska Filminstitutet (SFI),Nordisk Film- & TV-Fond,Film Väst"
3871,"Metro-Goldwyn-Mayer (MGM),Christmas Tree Films"
3872,"Mpower Pictures,Metanoia Films,Burnside Entertainment,Bella Productions,One Media, The"
3873,Guerilla High Productions
3874,"Magna Global Entertainment,Verdi Productions"
3875,Fox Entertainment Group
3876,"Haut et Court,France 2 Cinéma"
3877,"Paramount Pictures,William Castle Productions"
3878,"Paramount Pictures,John Ford Productions"
3879,"Vox3 Films,Serenade Films,Olympus Pictures,Deer Path Productions,Northwood Productions"
3880,"Fine Line Features,Journeyman Pictures,HBO Films"
3881,"Parts and Labor,Olympus Pictures,Focus Features"
3882,"Neo Art & Logic,Dimension Films,Maloof Motion Pictures"
3883,"Universal Pictures,Oregon Film Factory,Stage III Productions"
3884,"United Artists,Eon Productions,Danjaq"
3885,"Alliance Films,Telefilm Canada,TF1 International"
3886,"RKO Radio Pictures,Liberty Films (II)"
3887,"Miramax Films,Channel Four Films,Noel Gay Motion Picture Company,Figment Films,Film4"
3888,40 Acres & A Mule Filmworks
3889,"Paramount Pictures,Blumhouse Productions,Solana Films"
3890,"Fox Searchlight Pictures,Canal+,Tomboy Films"
3891,"Alliance Atlantis Communications,TiMe Film- und TV-Produktions GmbH,Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG,Dog Eat Dog Films,Iconolatry Productions Inc.,Salter Street Films International,United Broadcasting Inc."
3892,LeVision Pictures
3893,"New Line Cinema,Smart Egg Pictures"
3894,"Goldcrest Films International,National Film Finance Corporation (NFFC),Curzon Film Distributors"
3895,"Universal Pictures,Why Not Productions,Platinum Dunes,Blumhouse Productions,20th Century Fox Russia"
3896,"Alliance Films,Blumhouse Productions,IM Global,Automatik Entertainment,Possessed Pictures"
3897,
3898,"Avon Production,Metro-Goldwyn-Mayer (MGM)"
3899,"Twentieth Century Fox Film Corporation,APJAC Productions"
3900,Walt Disney Pictures
