,cast,genres,keywords,production_companies,production_countries,urls,titles
4033,KateMara DavidOyelowo MichaelKennethWilliams MimiRogers,Crime Drama Thriller,hostage basedontruestory murder independentfilm singlemother drug drugaddict recoveringdrugaddict autotheft basedontrueevents,ItacaFilms BNFilms BrightsideEntertainment 1019Entertainment YorubaSaxonProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.sC2y99eXX_fK1rM0x_c5CAHaLH%26pid%3D15.1&f=1,captive
4034,DavidDuchovny NickyKatt CatherineKeener MaryMcCormack,Comedy Drama Romance,independentfilm,MiramaxFilms PopulistPictures MonophonicInc.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.explicit.bing.net%2Fth%3Fid%3DOIP.I2Ay_RGO-KDOAj-uWETclAHaK8%26pid%3D15.1&f=1,full frontal
4035,StephenNichols TawnyKitaen ToddAllen KathleenWilhoite,Horror,ax possession psychicpower ouija ouijaboard evilspirit,,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.kcLZSJ6G1lunPB-iSn6I0QAAAA%26pid%3D15.1&f=1,witchboard
4036,Sook-YinLee PaulDawson PJDeBoy JayBrannan,Romance Drama Comedy,gay newyork freelove swingerclub transsexuality sex heterosexual suicideattempt eroticism groupsex orgasm sextherapy video dominatrix homosexuality unsimulatedsex,FortissimoFilms ProcessProductions QTelevision,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.rJB0yiSvMUL2Rd1Hr4TUyQHaEe%26pid%3D15.1&f=1,shortbus
4037,AriFolman RonBen-Yishai DrorHarazi RonnyDayag,Drama Animation War,israel palestine middleeast lebanon nightmare middleeastconflict,LesFilmsd'Ici BridgitFolmanFilmGang RazorFilmProduktion,Israel France Germany,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Bji4bM7hgUGMDDKQ5Q7rmAAAAA%26pid%3D15.1&f=1,vals im bashir
4038,KirbyHeyborne MichaelFlynn  ,,,,,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.KguICsKsvwbnfl_R2xlPRgAAAA%26pid%3D15.1&f=1,"the book of mormon movie, volume 1: the journey"
4039,CampbellScott GeraldBurke AliFadhil RobertHutchings,Documentary,whitehouse occupyingpower independentfilm incompetence irak superpower warfare,,,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.P-EiOnfK5Cdncu_NkXLlxQHaLH%26pid%3D15.1&f=1,no end in sight
4040,BelPowley KristenWiig AlexanderSkarsgård ChristopherMeloni,Drama Romance,1970s teenagegirl oldermanyoungerwomanrelationship basedongraphicnovel teenagesexuality womandirector,CaviarFilms ColdIronPictures ArcherGray,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.-VL5-zOEcKHe1qqnsH_UcwHaEr%26pid%3D15.1&f=1,the diary of a teenage girl
4041,BuzzAldrin MichaelCollins AlanBean EugeneCernan,Documentary,nasa spacemission rocket moonlanding space astronaut apollos,Film4 PassionPictures DiscoveryFilms,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.4VgWjMFkq38pXmvYWfMVPQAAAA%26pid%3D15.1&f=1,in the shadow of the moon
4042,MichelleWilliams BruceGreenwood WillPatton ZoeKazan,Drama Western,gold oregon thirst tree settler familyrelationships nativeamerican saltlakecity pioneer womandirector,FilmScience EvenstarFilms OscilloscopeLaboratories,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.JcrUO2FS9ep5rV-6wjaYfwHaK5%26pid%3D15.1&f=1,meek's cutoff
4043,DennisHopper PeterBart WarrenBeatty CarlBernstein,History Documentary,usa 1970s sexualrevolution unsimulatedsex,,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.3N8bVV3kfGuupkedKJmusQHaK-%26pid%3D15.1&f=1,inside deep throat
4044,DannyAiello JohnRothman FrankBongiorno LexieSperduto,Drama Action Thriller,,AccessMotionPictureGroup Giraldi-Suarez-DiGiaimoProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Epr-tFOn3D22vLvqqMencAAAAA%26pid%3D15.1&f=1,dinner rush
4045,ToniCollette ParkerPosey LisaKudrow AlannaUbach,Comedy Drama,independentfilm womandirector,,,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.jVus_vHfRu1PRFFENQo1EgHaE-%26pid%3D15.1&f=1,clockwatchers
4046,MattBennett ZackPearlman JacobDavich JustinKline,Comedy,lossofvirginity teenageboy teencomedy teenagesexuality foundfootage sexcomedy virginity,GarySanchezProductions Principato-YoungEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.7-62TbUM9GP7wmN4lg2cwQHaE7%26pid%3D15.1&f=1,the virginity hit
4047,IsabelleAdjani ChristopherLambert RichardBohringer MichelGalabru,Action Thriller,paris cultureclash subway metropolis blackmail document criminal socialite punkband,Gaumont,France,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.A1YEM8KhInK-Pn0Wz7qV0gHaKA%26pid%3D15.1&f=1,subway
4048,RobinWilliams DavidDuchovny AntonYelchin TéaLeoni,Comedy Drama,self-discovery friendship,TribecaProductions BobYariProductions SouthpawEntertainment JeffSkollProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.AK4ab2IA8kisr3p1fPOqIQHaJ8%26pid%3D15.1&f=1,house of d
4049,JessWeixler JohnHensley JoshPais HaleAppleman,Comedy Horror,,Teeth,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.Vp8iPHesK7Au-8WLzt13fAAAAA%26pid%3D15.1&f=1,teeth
4050,JeffreyFalcon JustinMcGuire KimDeAngelo StephaneGauger,Action Adventure ScienceFiction,independentfilm,HSXFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.WyLXY4dG8bnNiGYA8FhsoAHaKd%26pid%3D15.1&f=1,six-string samurai
4051,   ,,,,,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.qM4TwDVqFN9JpLX1qXlr7wAAAA%26pid%3D15.1&f=1,hum to mohabbat karega
4052,PaulKaye KateMagowan NeilMaskell BeatrizBatarda,Drama Comedy Music,discjockey lossoffamily cocaine comeback recordingstudio british ibiza basedontruestory disabled,,Canada UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.3iXHJrZvtYrHOOb9-fCl3QHaEI%26pid%3D15.1&f=1,it's all gone pete tong
4053,SteveBuscemi RomanyMalco TimBlakeNelson SarahSilverman,Comedy,independentfilm aftercreditsstinger,,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Fg_-zQ0yrkKEIG3eFEwnYQHaK9%26pid%3D15.1&f=1,saint john of las vegas
4054,BobHoskins DannyNussbaum BruceJones AnnetteBadland,Comedy Drama Romance,transporter sport friends nottingham,ScalaFilms,UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.iw2tXi-TQATCe-gYxYpxjAAAAA%26pid%3D15.1&f=1,24 7: twenty four seven
4055,JeremyIrvine JonnyBeauchamp JonathanRhysMeyers RonPerlman,Drama,stonewallriot,CentropolisEntertainment Mel'sCiteduCinema,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.NWiTVZIfXv3B1rz4mCntnwAAAA%26pid%3D15.1&f=1,stonewall
4061,MelindaClarke J.TrevorEdmond KentMcCord SarahDouglas,Comedy ScienceFiction Romance Horror,gang zombie,OzlaProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.6uUPJv_UmojjGHeYQxG5pwAAAA%26pid%3D15.1&f=1,return of the living dead 3
4062,ChrisEvans JessicaBiel JoyBryant JasonStatham,Drama Action Romance,newyork celebration,DestinationFilms SilverNitrateFilms NationalFilmandTelevisionSchool(NFTS) LHRProductionsInc.,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.In4LFjy4dkQlgsIgjseSlAHaK9%26pid%3D15.1&f=1,london
4063,MaggieGyllenhaal MichelleHurst SandraRodríguez DannyTrejo,Drama,independentfilm motherdaughterrelationship womandirector,RedEnvelopeEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.6ssCIfVDq-8ulo4wY8ZJdAHaEB%26pid%3D15.1&f=1,sherrybaby
4064,JulieBenz CarterJenkins CesarGarcia MercyMalick,Horror ScienceFiction,survival execution stranger nomemory,VotivFilms TaggartProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.VG_6ihoYqweSIQOZKUAuTwHaE9%26pid%3D15.1&f=1,circle
4065,KellyReilly MichaelFassbender TaraEllis JackO'Connell,Horror Thriller,beach wifehusbandrelationship lake camping rottweiler sadism forest revenge survival fear violence couple gangviolence teenagekiller,AramidEntertainmentFund RollercoasterFilms,UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.zJK19t7Ii73H9e5ss0uq8gHaKl%26pid%3D15.1&f=1,eden lake
4066,EmilyBrowning XavierSamuel CamGigandet DawnOlivieri,Thriller,womandirector,BlumhouseProductions IMGlobalOctane Reliance,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.9HKR9dk6l28XZJZzgwP-iAHaK9%26pid%3D15.1&f=1,plush
4067,JamesCorden MathewHorne PaulMcGann MyAnnaBuring,Horror Comedy,femalenudity horror darkcomedy femalehomosexuality femalevampire,AVPictures,UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.oNpYCEJ2wmvhPe27uu1zfQAAAA%26pid%3D15.1&f=1,lesbian vampire killers
4068,DanielBuckland RobertHobbs RapulanaSeiphemo JeffreyZekele,Drama Action Crime Foreign,hearing gangofthieves organizedcrime,MutiFilms,SouthAfrica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.TPfw-eVsb6gZFZ39FPIYEAHaLH%26pid%3D15.1&f=1,jerusalema
4069,LeeEvans SeanMcGinley IanMcNeice ColinSalmon,Thriller Drama Crime,lossoffamily camcorder alibi suspect murder,,UnitedKingdom Ireland,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.07ZHLwdasJXVaKnWN3b7rAHaOG%26pid%3D15.1&f=1,freeze frame
4070,SeanRogerson JuanRiedinger AshleighGryzko MackenzieGray,Thriller Horror,camcorder reality insaneasylum paranormal haunting psychiatrichospital ghosthunting paranormalinvestigation labyrinth mentalasylum foundfootage,Darclight TwinEngineFilms DigitalInterferenceProductions,Canada UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.m2vOQwloqvkl8nUx4AcJ4AHaK-%26pid%3D15.1&f=1,grave encounters
4071,RossNoble TommyKnight Gemma-LeahDevereux JohnMcDonnell,Horror,slapstick teenangst slaughter darkcomedy supernaturalbeing killerclown revengekilling,BórdScannánnahÉireann IrishFilmBoard FantasticFilms MPIMediaGroup TailoredFilms SolidEntertainment,Ireland,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.UaFg6MWx4yeVHUX1vgXkugHaE8%26pid%3D15.1&f=1,stitches
4072,MelissaJoanHart JohnTerry ChipBent LawrenceTurner,Crime Drama Horror Thriller,kidnapping murder suspense,HartbreakFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.plEcWUyrGqUuv6OESjotNwHaLH%26pid%3D15.1&f=1,nine dead
4073,TonyOppedisano   ,Documentary,music actors legendaryperfomer classichollywood franksinatra singers,EyelineEntertainment,UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.mqK2zTCM7-W8uMxpl47sPgHaJ_%26pid%3D15.1&f=1,"to be frank, sinatra at 100"
4074,WoodyAllen LouiseLasser CarlosMontalbán NatiAbascal,Comedy,revolution politicalactivism loser,UnitedArtists JackRollins&CharlesH.JoffeProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.uWWSnzHl4V0G_aAmI-eYZgAAAA%26pid%3D15.1&f=1,bananas
4075,LinusRoache DerekTing RichardNg MichaelPark,Thriller,,,UnitedStatesofAmerica HongKong,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.IvKs0jcPoEdU-YMfTCcd_gHaEK%26pid%3D15.1&f=1,$upercapitalist
4076,NicholasGonzalez MarioCimarro OlegTaktarov VitaliBaganov,Action Adventure Drama,,RockawaytheMovie OffHollywoodPictures PanamaxFilms CrookBrothersProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.bICMSSVDzF_gLavvi2RhPwHaFj%26pid%3D15.1&f=1,rockaway
4077,RitaHayworth OrsonWelles EverettSloane GlennAnders,Crime Drama Mystery,newyork sanfrancisco aquarium shanghai yacht romanticrivalry insurancefraud court blonde suspense classicnoir filmnoir,ColumbiaPicturesCorporation MercuryProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.W_uHheg-mtorAM8OCm807QHaLU%26pid%3D15.1&f=1,the lady from shanghai
4078,StephenMartines ValerieCruz MirceaMonroe DesmondAskew,Horror Thriller,sheriff robber burnedalive gore serialkiller grimreaper desert heldatgunpoint death taser hitbyacar explodinggasolinestation flashback,Institution The,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.kq9EiWVhp_xvWF9ituS6uQHaLH%26pid%3D15.1&f=1,no man's land: the rise of reeker
4079,JakeGyllenhaal SelmaBlair JaredLeto JohnC.McGinley,Action Adventure Drama,roadmovie,AlexEntertainmentInc.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.kSbjQsAxf9Zkr4n8DYCUmAHaEK%26pid%3D15.1&f=1,highway
4080,MattLucas JunoTemple JamesCaan DolphLundgren,Comedy Crime,,DeviantFilms MoroccoJunctionPictures 1812Productions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.tBMmeJfcWjRozLb22gqUHQHaE8%26pid%3D15.1&f=1,small apartments
4081,GlennHowerton SteveLittle BenSchwartz AdriannePalicki,Comedy,coffeeshop slacker thirtysomething carefree,,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.dMoVkgKCRsESSBj8c1fzcwHaEL%26pid%3D15.1&f=1,coffee town
4082,WillKeenan CreedBratton DeAnnaJoyBrooks ReggieBannister,Comedy Fantasy Music,,,,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.4pZl-gplfkizlSPS3EJyVQAAAA%26pid%3D15.1&f=1,the ghastly love of johnny x
4083,PaulRudd PaulGiamatti SallyHawkins PeterHermann,Comedy Drama,christmastree salesman frenchcanadian,SidneyKimmelEntertainment TouchyFeelyFilms GreenStreetFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.QR0j-y6R1TR6-exhjdT3mgHaK-%26pid%3D15.1&f=1,all is bright
4084,LexBarker ChristopherLee KarinDor CarlLange,Mystery Horror History,snake cut-offarm pit revitalization descendant count surrealism,ConstantinFilmProduktion,Germany,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.D2LAGjqG-U0xkRjAsXkH_wHaKX%26pid%3D15.1&f=1,die schlangengrube und das pendel
4085,AnnaPaquin RyanPhillippe LukeWilson PowersBoothe,Comedy Drama,brotherbrotherrelationship drugaddiction sister-in-law,NuImageFilms MillenniumFilms TheGroupFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.mD6RaLuo9Jxqi_acl7egXwHaLH%26pid%3D15.1&f=1,straight a's
4092,CrispinGlover KeanuReeves IoneSkye DanielRoebuck,Crime Drama,sex police friends murder,HemdaleFilm Island,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.KtToKEh6gyIM7dWv2IEwXgHaFB%26pid%3D15.1&f=1,river's edge
4093,JamesWoods NickNolte ClaireForlani DarylHannah,Fantasy Drama ScienceFiction,,,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.CTFRRYEoYz3Z0cudq0WNiAHaLH%26pid%3D15.1&f=1,northfork
4094,MikeMizanin MelissaRoxburgh JoshBlacker MatthewMacCaull,Thriller Action,,WWEStudios,Canada,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.NC06pQPMVLFEfMOWRiwjCgHaEg%26pid%3D15.1&f=1,the marine 4: moving target
4095,RyanReynolds JoséLuisGarcíaPérez RobertPaterson StephenTobolowsky,Drama Thriller Mystery,isolation coffin raceagainsttime buriedalive survival terrorism danger cellphone desert psychological aftercreditsstinger captivity chasesandraces mindandsoul confined,Studio37 VersusEntertainment TheSafranCompany DarkTrickFilms,Spain UnitedStatesofAmerica France,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.hLdvmUgoSJM5G3KAhf6ROAHaLH%26pid%3D15.1&f=1,buried
4096,CraigRoberts SallyHawkins PaddyConsidine NoahTaylor,Drama Comedy Romance,beach wales friendship bullying teenagegirl lossofvirginity,Film4 FilmAgencyforWales RedHourFilms Warp(Submarine) WarpFilms,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.I7sjXXArvNNIxthT_nWygwHaKc%26pid%3D15.1&f=1,submarine
4097,KhalidAbdalla DinaAbdullah DinaAmer MagdyAshour,Documentary Drama History,womandirector,RoastBeefProductions WorldviewEntertainment NoujaimFilms,UnitedKingdom UnitedStatesofAmerica Egypt,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Xu3AYU9PSjeX2_Q3Hv62vgHaEK%26pid%3D15.1&f=1,the square
4098,LizzieBrocheré ArthurDupont GuillaumeBaché PierrePerrier,Drama,france musician investigation sadomasochism independentfilm relationship incest bisexual,RégionProvenceCôted'Azur LaFabriquedeFilms Canal+ Toloda CentreNationaldelaCinématographie(CNC) Soficinéma2,France,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.jxdDMN8gTpg4ztmjwvHARQHaE6%26pid%3D15.1&f=1,chacun sa nuit
4099,PhilippePetit JeanFrançoisHeckel Jean-LouisBlondeau AnnieAllix,Thriller Documentary Crime History,judge juggler passion reality streetartist jail independentfilm fame hiding tower,UKFilmCouncil RedBoxFilms DiscoveryFilms BBCStoryville WalltoWall,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.ba7ZsQcZzOU-9vK9CSH6vAHaLH%26pid%3D15.1&f=1,man on wire
4100,DominicPurcell PeterFeeney OwenBlack SiobhanMarshall,Drama Thriller,supervivencia,MakingMovies,NewZealand,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.5mvS_R8vba_A6OOQBuI6dQHaOG%26pid%3D15.1&f=1,abandoned
4101,KekePalmer CoryHardrict EricD.HillJr. QuincyBrown,Drama,,,,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.vbX1QW5hHeNKvPZnU6xDjAHaEI%26pid%3D15.1&f=1,brotherly love
4102,AshleyBell PatrickFabian IrisBahr LouisHerthum,Horror Drama Thriller,exorcism fraud evilspirit humansacrifice mockumentary preacher satanicritual foundfootage sataniccult,StrikeEntertainment StudioCanal ArcadePictures,UnitedStatesofAmerica France,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.TIqEUIehWf5j1Hz5J1x3owAAAA%26pid%3D15.1&f=1,the last exorcism
4103,AaronTaylor-Johnson Anne-MarieDuff KristinScottThomas DavidThrelfall,Drama,musician musical biography teenager darkpast hitbyacar newbrightonengland womandirector 1950s aspiringmusician,EcosseFilms UKFilmCouncil Film4 LipsyncProductions AverMedia NorthWestVision,Canada UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.pIyqZ4KBDwF6sFWxwwh4MQHaFj%26pid%3D15.1&f=1,nowhere boy
4104,VivienLeigh MarlonBrando KimHunter KarlMalden,Drama,southernusa rape sistersisterrelationship lossofsenseofreality brother-in-law violenthusband neworleans middleagedwoman brother-in-lawsister-in-lawrelationship lightbulb expectantfather offscreenrape,CharlesK.FeldmanGroup WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.VDKHU-XA6c7tyxgXMH5Q4AHaLN%26pid%3D15.1&f=1,a streetcar named desire
4105,PeterSellers GeorgeC.Scott SterlingHayden KeenanWynn,Drama Comedy War,usapresident general coldwar strategicaircommand nuclearmissile warroom bomberpilot nuclearweapons exnazi doomsdaydevice absurdism,HawkFilms ColumbiaPicturesCorporation,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.nQm9_bJ2Az0xjpIMvnPotQHaKY%26pid%3D15.1&f=1,dr. strangelove or: how i learned to stop worrying and love the bomb
4106,GaelGarcíaBernal AnaClaudiaTalancón SanchoGracia AngélicaAragón,Drama Romance,heartattack drugtraffic drugcrime mexicanprovince celibacy priest pregnancy catholicism newmexicancinema,InstitutoMexicanodeCinematografía AlamedaFilms Cinecolor-México Cinecolor-Argentina ArtcamyFondsSudCinéma,Mexico,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.bhPIjjHPDzM4lMqU-t_ABAHaK-%26pid%3D15.1&f=1,el crimen del padre amaro
4107,QuvenzhanéWallis DwightHenry LevyEasterly GinaMontana,Drama Fantasy,refugeecamp hurricane fantasy flooding globalwarming drama bayou crab storm celebration auroch toughlove defrost levee prehistoriccreature lostmother meltingicecaps shrimp saltwater explosives crawfish shrimping submerged grits africanamericanchild wildman,JourneymanPictures Court13Pictures Cinereach,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.fxwe7EENHFRGx3iTHb_c7wHaK-%26pid%3D15.1&f=1,beasts of the southern wild
4108,RoddyMcDowall NatalieTrundy AustinStoker SevernDarden,Action ScienceFiction,post-apocalyptic dystopia ape,TwentiethCenturyFoxFilmCorporation ApjacInternational,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.oH_Vzg-S4PNkpAbfDnSVhAHaLH%26pid%3D15.1&f=1,battle for the planet of the apes
4109,JanetMcTeer MichaelDavis MichaelGoodwin GregoryRussellCook,Drama Music,musical independentfilm womandirector,RigasEntertainment ErgoArts,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.OjKXjOtaazIxqcqvnz0RsgHaFj%26pid%3D15.1&f=1,songcatcher
4110,VeraFarmiga DonnaMurphy DagmaraDomińczyk JohnHawkes,Drama Thriller,baby wifehusbandrelationship christian faith independentfilm evangelicalchristianity womandirector,,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.McKBMaUHg2DbqRv5FHWAZAHaLH%26pid%3D15.1&f=1,higher ground
4111,MorganSpurlock PeterBerg PaulBrennan RalphNader,Comedy Documentary,comedian comedy duringcreditsstinger,SnootEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.EakEgXpf0vGQFZri-G2zxAHaLF%26pid%3D15.1&f=1,the greatest movie ever sold
4112,EricChristmas HarperRoisman SteveBuscemi SamJenkins,Comedy,chainsaw macabre unclenephewrelationship,,,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.fRe2uEDhOuegKztv44NvngHaLH%26pid%3D15.1&f=1,ed and his dead mother
4113,TshewangDendup SonamLhamo LhakpaDorji DekiYangzom,Adventure Drama Foreign,illusion independentfilm bhutan storyinstory weaver storytelling,PrayerFlagPictures,Bhutan UnitedKingdom Australia,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.5MQfbLt2eHWC-lnVh01SggAAAA%26pid%3D15.1&f=1,travellers and magicians
