,cast,genres,keywords,production_companies,production_countries,title
3143,SeanConnery AkikoWakabayashi KarinDor MieHama,Action Thriller Adventure,londonengland japan england assassination helicopter vulkan assassin asia secretidentity nasa island russia missile warship ninjafighter secretbase secretmission secretorganization secretintelligenceservice phantom villain sumoringer volcano funeral space soldier killer secretservice blast,EonProductions,UnitedKingdom,You Only Live Twice
3144,EdSpeleers WillPoulter AlfieAllen SebastiandeSouza,Drama Action Comedy Crime,,GatewayFilms,UnitedKingdom,Plastic
3145,EmmanuelleRiva Jean-LouisTrintignant IsabelleHuppert WilliamShimell,Drama Romance,nurse musicteacher aging daughter music love retired illness pigeon stroke octogenarian oldcouple,LesFilmsduLosange WegaFilm X-FilmeCreativePool,France Austria Germany,Amour
3146,TomSkerritt NancyAllen HeatherO'Rourke LaraFlynnBoyle,Horror Thriller,chicago religionandsupernatural supernaturalpowers devil demon,Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,Poltergeist III
3147,RogerCross ScottAdkins DaniellaAlonso BrucePayne,Horror ScienceFiction,realitytv conspiracy zombie zombieapocalypse,SignaturePictures AfterDarkFilms MidsummerFilms,UnitedStatesofAmerica,Re-Kill
3148,SpencerTracy MiltonBerle SidCaesar BuddyHackett,Action Adventure Comedy Crime,competition prison california chase humor nationalpark treasurehunt slapstick money carchase desert race cash planes funny,UnitedArtists CaseyProductions,UnitedStatesofAmerica,"It's a Mad, Mad, Mad, Mad World"
3149,PenélopeCruz CarmenMaura LolaDueñas BlancaPortillo,Comedy Drama Romance,childabuse rape fire sexualabuse madrid secret return solidarity village superstition crime death ghost abusivefather,ElDeseo,Spain,Volver
3150,RodgerBumpass JackieBurroughs JoeFlaherty HaroldRamis,Animation ScienceFiction,flyingcar taxi heavymetal cultfavorite midnightmovie druguse adultanimation,CanadianFilmDevelopmentCorporation(CFDC),Canada,Heavy Metal
3151,MichaelAngarano SamRockwell CliveRevill JemaineClement,Action Comedy Thriller,writing plagiarism independentfilm homeschooling aftercreditsstinger duringcreditsstinger,,UnitedStatesofAmerica,Gentlemen Broncos
3152,IanMcKellen AnnetteBening JimBroadbent KristinScottThomas,Drama War,england shakespeare kidnapping murder king,BritishScreen MayfairEntertainmentInternational,UnitedKingdom UnitedStatesofAmerica,Richard III
3153,JamesMarsden ThomasJane PiperPerabo ScottGlenn,Action Horror Thriller,grizzlybear wilderness forest alaska survival bear,PurplePictures PaulSchiffProductions IndomitableEntertainment,Canada UnitedStatesofAmerica,Into the Grizzly Maze
3154,HrithikRoshan BárbaraMori KabirBedi KanganaRanaut,Drama Action Romance,,BollywoodHollywoodProduction,India,Kites
3155,KirstenDunst CharlotteGainsbourg KieferSutherland CharlotteRampling,Drama ScienceFiction,weddingreception poweroutage destructionofplanet weddingtoast,ZentropaEntertainments DetDanskeFilminstitut DanmarksRadio(DR) MemfisFilm Eurimages SverigesTelevision(SVT) Canal+ CinéCinéma SlotMachine ZentropaInternationalSweden ZentropaInternationalKöln LiberatorProductions SwedishFilmInstitute CentreNationalduCinémaetdeL'imageAnimée(CNC) FilmiVäst FilmstiftungNordrhein-Westfalen LegionEntertainment EditionVideo NordiskFilmDistribution,Denmark France Germany Sweden,Melancholia
3156,JoshLucas RachaelTaylor RohanNichol LukeFord,Drama Comedy Family,1970s humananimalrelationship australia grief search dog death mourning basedontrueevents australianoutback dogmissing,ScreenAustralia EndymionFilms ScreenWest EssentialEntertainment WossGroupFilmProductions TheSouthAustralianFilmCorporation,Australia,Red Dog
3157,ShahRukhKhan KatrinaKaif AnushkaSharma AnupamKher,Drama Romance,bollywood fallinlove,YashRajFilms,India,Jab Tak Hai Jaan
3158,TomSkerritt SigourneyWeaver VeronicaCartwright HarryDeanStanton,Horror Action Thriller ScienceFiction,android countdown spacemarine spacesuit beheading dystopia biology cowardice spaceship space alien femaleprotagonist outerspace parasite h.r.giger xenomorph,TwentiethCenturyFoxFilmCorporation BrandywineProductions,UnitedStatesofAmerica UnitedKingdom,Alien
3159,MarilynBurns AllenDanziger PaulA.Partain WilliamVail,Horror,gasstation texas van gore midnightmovie surpriseending shockintheend leatherface hitchhiker slaughterhouse slasher chainsaw family polaroid cannibals proto-slasher,NewLineCinema Vortex,UnitedStatesofAmerica,The Texas Chain Saw Massacre
3160,DakotaFanning KristenStewart MichaelShannon RileyKeough,Drama Music,women 1970s publicity iron music pill independentfilm nightclub teenagegirl microphone rockmusic guitarist photoshoot teenagesexuality drummer recording grandmother alcoholicdrink brokenglass talentcontest girlband hospitalbed femalerocker womandirector,RiverRoadEntertainment RoadRebel LinsonEntertainment,UnitedStatesofAmerica,The Runaways
3161,ChaimTopol NormaCrane LeonardFrey MollyPicon,Drama Romance,tradition dream musical pogrom motherdaughterrelationship breakingthefourthwall milkman russianorthodoxchurch judaism tavern constable suitor russiansoldier elopement,UnitedArtists CartierProductions MirischCorporation The,UnitedStatesofAmerica,Fiddler on the Roof
3162,SeanConnery ClaudineAuger AdolfoCeli LucianaPaluzzi,Adventure Action Thriller,paris florida fighterpilot sanatorium secretorganization nuclearmissile coralreef bahamas scubadiving scuba britishsecretservice,EonProductions Metro-Goldwyn-Mayer(MGM),Bahamas France UnitedKingdom UnitedStatesofAmerica,Thunderball
3163,ShanleyCaswell JoshHutcherson SpencerLocke DaneCook,Horror Comedy ScienceFiction,highschool murder slasher horrorspoof,DetentionFilms,UnitedStatesofAmerica,Detention
3164,NicoleGrimaudo RiccardoScamarcio AlessandroPreziosi LunettaSavino,Comedy Drama Romance,,Fandango,Italy,Mine vaganti
3165,JadaPinkettSmith QueenLatifah VivicaA.Fox KimberlyElise,Drama Action Crime,singleparent bankrobber lastchance losangeles,NewLineCinema,UnitedStatesofAmerica,Set It Off
3166,NiaLong MorrisChestnut HaroldPerrineau TerrenceHoward,Drama Comedy,,UniversalPictures 40Acres&AMuleFilmworks,UnitedStatesofAmerica,The Best Man
3167,CatherineHicks ChrisSarandon AlexVincent BradDourif,Horror Thriller,gun birthday voodoo toy stalker murder blood slasher explosion killer doll evil toycomestolife ginger,UnitedArtists,UnitedStatesofAmerica,Child's Play
3168,MichaelMoore GeorgeW.Bush BillClinton HillaryClinton,Documentary,bureaucracy usa corruption cuba medicine guantanamobay assurance healthcare money hospital doctor illness existence,TheWeinsteinCompany,UnitedStatesofAmerica,Sicko
3169,FrankGrillo CarmenEjogo ZachGilford KieleSanchez,Horror Thriller,bus assaultrifle sniper machete dystopia psychopath sequel revenge murder survival motorcycle violence oneday maskedman apartment death survivalhorror gatlinggun,UniversalPictures WhyNotProductions PlatinumDunes BlumhouseProductions 5150Action,France UnitedStatesofAmerica,The Purge: Anarchy
3170,FreddiePrinzeJr. JuliaStiles SelmaBlair ShawnHatosy,Comedy Drama Family Romance,lovesickness newlove loveofone'slife relocation man-womanrelation love,MiramaxFilms,UnitedStatesofAmerica,Down to You
3171,JohnCho KalPenn PaulaGarcés NeilPatrickHarris,Comedy Adventure,brotherbrotherrelationship amsterdam trip roadtrip cannabis marijuana policechase smokingmarijuana buddy stoner fastfood onenight buddycomedy munchies cropcircle richparents carsiren bloodspurting,NewLineCinema,UnitedStatesofAmerica,Harold & Kumar Go to White Castle
3172,GaryOldman JoanAllen JeffBridges ChristianSlater,Drama Thriller,politics suspense,BattleplanProductions DreamWorksPictures,Germany UnitedKingdom UnitedStatesofAmerica,The Contender
3173,GiovanniRibisi VinDiesel NiaLong TomEverettScott,Crime Drama Thriller,finances stockbroker investmentfirm,NewLineCinema,UnitedStatesofAmerica,Boiler Room
3174,EddieMurphy DanAykroyd JamieLeeCurtis JimBelushi,Comedy,christmastree fromragstoriches broker beggar dollar wager fishoutofwater millionaire commodities investor bigshot hoodlum wrongfularrest santahat,ParamountPictures CinemaGroupVentures,UnitedStatesofAmerica,Trading Places
3175,KatieCassidy MichelleTrachtenberg KristenCloke MaryElizabethWinstead,Horror Thriller,holiday difficultchildhood childhoodmemory childhoodtrauma psychopath serialkiller murderer christmaseve christmashorror,DimensionFilms,Canada UnitedStatesofAmerica,Black Christmas
3176,JamieFoxx MorrisChestnut JenniferEsposito GabrielleUnion,Comedy Romance,bestsellingauthor,ScreenGems BreakupProductions,UnitedStatesofAmerica,Breakin' All the Rules
3177,KennethBranagh DerekJacobi BrianBlessed JamesLarkin,War Drama History Action Romance,shakespeare hero kingdom war basedonplay gritty medieval kingofengland,BBCFilms SamuelGoldwynCompany RenaissanceFilms,UnitedKingdom,Henry V
3178,LauraLinney PhilipSeymourHoffman PhilipBosco CaraSeymour,Drama,fathersonrelationship depression parentskidsrelationship brothersisterrelationship professor pflegeheim professorforliterature son brother daughter alzheimer sister relation pflegen alienation independentfilm domesticviolence writer relationship family familyfeud fatherfigure womandirector,FoxSearchlightPictures AdHominemEnterprises ThisIsThatProductions LoneStarFilmGroup SavageProductions,UnitedStatesofAmerica,The Savages
3179,RoselynSánchez SofíaVergara JaciVelasquez EduardoVerástegui,Comedy Romance,womandirector,Fox2000Pictures,UnitedStatesofAmerica,Chasing Papi
3180,BeniciodelToro RyanPhillippe JulietteLewis JamesCaan,Action Crime Drama Thriller,gunslinger mexico hotel ransom mexicanstandoff kidnapping spermbank fromragstoriches surrogatemother money gunfight drifter gangster criminal desert millionaire neo-western,,UnitedStatesofAmerica,The Way of the Gun
3181,KieranCulkin ClaireDanes JeffGoldblum JaredHarris,Comedy Drama,fathersonrelationship patenonkel independentfilm fallinginlove,UnitedArtists,UnitedStatesofAmerica,Igby Goes Down
3182,JeremyPiven ChrisYoung DavidSpade MeganWard,Comedy,mascot beerkeg politicalcorrectness ultimatefrisbee funkymusic fundraiser stagediving,PaulSchiffProductions,UnitedStatesofAmerica,PCU
3183,JamesGarner DrewFuller AbigailBreslin AliHillis,Romance Drama Family,grandfathergrandsonrelationship independentfilm wealth inheritancefight,TheUltimateGiftLLC DeanRiverProductions,UnitedStatesofAmerica,The Ultimate Gift
3184,RobertUrich MaryCrosby MichaelD.Roberts AnjelicaHuston,Action ScienceFiction Comedy,rebel spacewar water sci-ficomedy,JFProductions Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,The Ice Pirates
3185,JesseLeeSoffer ChristopherShand CarlySchroeder KarlGirolamo,Drama,,ElevationFilmworks UrsaMajorFilmsLLC,UnitedStatesofAmerica,Gracie
3186,DavidDuchovny JulianneMoore BillyCrudup MaggieGyllenhaal,Comedy Drama Romance,independentfilm,TrusttheManLLC,UnitedStatesofAmerica,Trust the Man
3187,SteveCoogan CatherineKeener JosephJulianSoria MelonieDiaz,Comedy Music,musicteacher musical theatremilieu highschool latina teacher sweat,,UnitedStatesofAmerica,Hamlet 2
3188,EwanMcGregor ChristianBale JonathanRhysMeyers JanetMcTeer,Drama Music,gay greatbritain narration glamrock bisexual musicjournalism schooluniform  beginswithtext imaginaryband babyleftondoorstep fictionalband downfeather 19thcentury 1980s,ChannelFourFilms SingleCellPictures NewmarketCapitalGroup GoldwynFilms KillerFilms ZenithEntertainment Miramax,UnitedKingdom,Velvet Goldmine
3189,KwakDo-won HwangJung-min ChunWoo-hee JunKunimura,Horror Mystery,sex smalltown exorcism investigation daughter police possession murder priest curse korea shaman zombie demon rural shrine ghost gluttony korean divination,FoxInternationalProductions FoxVideoKorea,SouthKorea,곡성
3190,DiannaAgron LeaMichele GwynethPaltrow DarrenCriss,Documentary Music Family,concert liveperformance duringcreditsstinger,TwentiethCenturyFoxFilmCorporation RyanMurphyProductions TwentiethCenturyFoxTelevision,UnitedStatesofAmerica,Glee: The Concert Movie
3191,M.L.PiyapasBhirombhakdi SarunyuWongkrachang ChatchaiPlengpanich JohnnyAnfone,Drama Foreign History War,queen thailand invasion,AmericanZoetrope PrommitrInternationalProduction,Thailand,สุริโยไท
3192,AdrienneBarbeau HarveyKeitel RamyZada E.G.Marshall,Horror Thriller,cat photographer nightmare hallucination hypnosis greed alcoholism anthology zombie spirit violence horroranthology,,Italy UnitedStatesofAmerica,Due occhi diabolici
3193,LambertWilson FranckDubosc FlorenceForesti GuillaumedeTonquédec,Comedy,,TF1FilmsProduction SamePlayer StudioCanal Cinéfrance1888,France,Barbecue
3194,JamesCorden TimothySpall RuthSheen LesleyManville,Comedy Drama,,LesFilmsAlainSarde ThinManFilms,France UnitedKingdom,All or Nothing
3195,Q'oriankaKilcher BarryPepper WillPatton JimmyYuill,Drama,biography historicalfigure princess drama basedontruestory,IslandFilmGroup TrailblazerFilms ScreenEast,UnitedStatesofAmerica,Princess Kaiulani
3196,SapphireBoyce ChristianByers VinceColosimo JacquelineMcKenzie,Drama Family Foreign,miner australia terminalillness imaginaryfriend independentfilm,RenaissanceFilms,Australia,Opal Dream
3197,ThureLindhardt MadsMikkelsen StineStengade PeterMygind,Crime Drama History War,assassin copenhagen resistance repayment worldwarii traitor doubleagent moralconflict independentfilm crime gestapo dishonesty,DetDanskeFilminstitut WüsteFilmproduktion StudioBabelsberg TV2Danmark SverigesTelevision(SVT) Canal+ Yleisradio(YLE) MatchFactory The MedienboardBerlin-Brandenburg SirenaFilm FondsEurimagesduConseildel'Europe DeutscheFilmförderfonds(DFFF) NimbusFilmProductions WüsteFilmOst OCFilm DucklingA/S Mainstream Kameraudlejningen 4½ NordicFilmochTVFund FilmförderungHamburgSchleswig-Holstein SandrewMetronomeDenmark TV2Norge NFPMarketing&Distribution SubstanzFilm,CzechRepublic Denmark Finland France Germany Norway Sweden,Flammen & Citronen
3198,KipPardue CarrieFisher ShannynSossamon PellJames,Comedy Romance,independentfilm aspiringsinger singer losangeles,LakeshoreEntertainment IntermediaFilms CinerentaMedienbeteiligungsKG,UnitedStatesofAmerica,Undiscovered
3199,AndrewGarfield DavidMorrissey JohnHenshaw AnthonyFlanagan,Thriller Mystery Crime Drama,,RevolutionFilms ChannelFourFilms ScreenYorkshire LipsyncProductions,UnitedKingdom,Red Riding: In the Year of Our Lord 1974
3200,MichelBlanc CatherineDeneuve ÉmilieDequenne NicolasDuvauchelle,Drama Romance,,France2Cinéma Canal+ TPSStar UnionGénéraleCinématographique(UGC) SBSFilms SoficaUGC1 Soficinéma5 CentreNationaldelaCinématographie(CNC),France,La Fille du RER
3201,SarahMichelleGellar DavidThewlis JonathanTucker ErikaChristensen,Drama Romance,newyork sex asylum controversial independentfilm psychiatrist treatment womandirector mental,VelvetSteamrollerEntertainment DashFilms FutureFilms MuseProductions PalmStarMedia,UnitedStatesofAmerica,Veronika Decides to Die
3202,PaulHogan LindaKozlowski MarkBlum DavidGulpilil,Adventure Comedy,newyork prostitute hotel journalist cultureclash subway crocodile wilderness knife tourist limousine poacher city australianoutback kangaroo,ParamountPictures RimfireFilms,Australia,Crocodile Dundee
3203,TerenceStamp JohnHurt SeanPertwee StevenWaddington,Animation ScienceFiction,,GoodStoryProductions POP6 CodexPictures,UnitedKingdom,"Ultramarines: A Warhammer 40,000 Movie"
3204,RyanPhillippe SarahPolley PiperPerabo RobertSeanLeonard,Thriller Mystery ScienceFiction,infidelity amnesia paranoia nightmare time puzzle murder suspense memory hospital doctor fear guilt discovery loop,MiramaxFilms DimensionFilms MDPWorldwide RCDProductionsLtd.,UnitedKingdom UnitedStatesofAmerica Germany,The I Inside
3205,BrendanCowell HarrisonGilbertson SteveLeMarquand GytonGrantley,Drama History War,,NewSouthWalesFilm&TelevisionOffice PacificFilmandTelevisionCommission ScreenAustralia TheSilenceProductions LuckyCountryProductions,Australia,Beneath Hill 60
3206,KarinViard JoeyStarr MarinaFoïs NicolasDuvauchelle,Drama,womandirector,LesProductionsduTrésor MarsFilmCorporation Chaocorp Shortcom,France,Polisse
3207,HaydenChristensen JessicaAlba TerrenceHoward LenaOlin,Thriller Crime Mystery,,TheWeinsteinCompany OpenCityFilms GreeneStreetFilms,UnitedStatesofAmerica,Awake
3208,TomKane CoreyBurton MatLucas JamesArnoldTaylor,Action Adventure Animation Fantasy ScienceFiction,war spaceopera clonetroopers,Lucasfilm CartoonNetworkStudios,SouthKorea UnitedStatesofAmerica,Star Wars: Clone Wars (Volume 1)
3209,DolphLundgren TonyJaa RonPerlman CelinaJade,Thriller Action Drama,martialarts bangkok humantrafficking muaythai roguecop sexslavery,SCFilmsInternational BaumgartenManagementandProductions(BMP) Thorbak SCInternationalPictures ThorPictures,Canada Thailand UnitedStatesofAmerica,Skin Trade
3210,JasonPatric CoreyHaim CoreyFeldman DianneWiest,Horror Comedy,streetgang smalltown vampire comicbook boardwalk single amusementpark mothersonrelationship,WarnerBros.,UnitedStatesofAmerica,The Lost Boys
3211,JeffBridges MaggieGyllenhaal ColinFarrell RobertDuvall,Drama Music Romance,taxi countrymusic journalist guitar bar musician alcoholism independentfilm singer memory texan alcoholic drink guilt biscuit,FoxSearchlightPictures Butcher'sRunFilms InformantMedia,UnitedStatesofAmerica,Crazy Heart
3212,BetteMidler AlanBates FredericForrest HarryDeanStanton,Drama Music Romance,drug rockband roses,TwentiethCenturyFoxFilmCorporation,UnitedStatesofAmerica,The Rose
3213,PaulaPatton AdamBrody DjimonHounsou TayeDiggs,Comedy,,SneakPreviewProductions,UnitedStatesofAmerica,Baggage Claim
3214,JaneFonda JohnPhillipLaw AnitaPallenberg MarcelMarceau,ScienceFiction,sexualfantasy alienplanet distantfuture cultclassic femalemercenary,ParamountPictures DinodeLaurentiisCinematografica MarianneProductions,UnitedStatesofAmerica,Barbarella
3215,StianSmestad GabrielByrne LouisaMilwood-Haigh BjørnSundquist,Adventure Family,island ship pirate sailor cabinboy 19thcentury,WaltDisneyPictures FilmkamerateneA/S SvenskFilmindustri(SF),UnitedStatesofAmerica Norway Sweden,Håkon Håkonsen
3216,MatthewBroderick ReeseWitherspoon ChrisKlein JessicaCampbell,Comedy,jealousy infidelity vandalism museum motel graduation scandal ambition politics highschool bias satire party crush independentfilm teacher morality trust election overachiever,ParamountPictures MTVFilms BonaFideProductions,UnitedStatesofAmerica,Election
3217,KalPenn Tabu IrrfanKhan SahiraNair,Drama,indianlead independentfilm womandirector,FoxSearchlightPictures MirabaiFilms,India UnitedStatesofAmerica,The Namesake
3218,MaeWhitman RobbieAmell BellaThorne BiancaA.Santos,Romance Comedy,highschool teenager popularity highschoolstudent teencomedy duringcreditsstinger girlnextdoor basedonyoungadultnovel,WonderlandSoundandVision CBSFilms VastEntertainment,UnitedStatesofAmerica,The DUFF
3219,MariahCarey MaxBeesley TerrenceHoward ValariePettiford,Drama Romance,talent careerwoman talentshow moviestar,TwentiethCenturyFoxFilmCorporation LaurenceMarkProductions ColumbiaPicturesCorporation GlitterProductions MaroonEntertainment,UnitedStatesofAmerica,Glitter
3220,ChadMichaelMurray KateeSackhoff AbigailSpencer CicelyTyson,Horror Drama Thriller,newhome ghost 1990s,GoldCircleFilms,UnitedStatesofAmerica,The Haunting in Connecticut 2: Ghosts of Georgia
3221,SolKyung-gu HeoJun-ho AhnSung-Ki JungJae-young,Action Drama History,prison island korea,HanmacFilms,SouthKorea,실미도
3222,AbbieCornish BenWhishaw PaulSchneider KerryFox,Drama Romance,poet independentfilm duringcreditsstinger womandirector,BBCFilms PathéRennProductions UKFilmCouncil ScreenAustralia AustralianFilmFinanceCorporation(AFFC) HopscotchProductions JanChapmanPictures,UnitedKingdom France Australia,Bright Star
3223,ShahRukhKhan Kajol JimmyShergill ZarinaWahab,Drama Romance,bollywood,FoxSearchlightPictures RedChilliesEntertainment Foxstar,India UnitedStatesofAmerica,My Name Is Khan
3224,RobertRedford   ,Action Adventure Drama,yacht sailor stormatsea unconsciousness liferaft container emergency distress verylittledialogue,SuddenStormProductions FilmNationEntertainment TreehousePictures BeforetheDoorPictures WashingtonSquareFilms BlackBearPictures,UnitedStatesofAmerica,All Is Lost
3225,MaryElizabethMastrantonio DavidStrathairn VanessaMartinez KrisKristofferson,Adventure Drama Thriller,,,,Limbo
3226,AkshayKumar KatrinaKaif RishiKapoor CliveStanden,Drama Foreign Romance,,,,Namastey London
3227,CillianMurphy PádraicDelaney LiamCunningham OrlaFitzgerald,Drama History War,londonengland brotherbrotherrelationship england civilwar resistance guerrilla irland underground opression traitor mercenary independence britisharmy dublin irishcivilwar peace weapon irishrepublicanarmy ruralireland colonialism,BIMDistribuzione MatadorPictures DiaphanaFilms BórdScannánnahÉireann ElementFilms UKFilmCouncil PathéDistribution IrishFilmBoard TornasolFilms SixteenFilms RegentCapital EMCProduktion Cinéart TV3TelevisionNetworkIreland FilmcoopiZürich OilFlickFilmsNo.2,Ireland UnitedKingdom Germany Italy Spain France Belgium Switzerland,The Wind That Shakes the Barley
3228,RanbirKapoor DeepikaPadukone KalkiKoechlin AdityaRoyKapoor,Romance,,DharmaProductions,India,Yeh Jawaani Hai Deewani
3229,RobertTaylor DeborahKerr LeoGenn PeterUstinov,Drama History Romance,ancientrome epic kaisernero,Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,Quo Vadis
3230,AlexaPenaVega PaulSorvino AnthonyStewartHead SarahBrightman,Horror Comedy Music ScienceFiction,dystopia,LionsGateFilms TwistedPictures,UnitedStatesofAmerica,Repo! The Genetic Opera
3231,MuhammedNecatiŞaşmaz BillyZane GhassanMassoud GurkanUygun,Adventure Drama Action,intelligence turk soldier gangster iraqwar,PanaFilm,Turkey,Kurtlar vadisi - Irak
3232,JohnTravolta SamuelL.Jackson UmaThurman BruceWillis,Thriller Crime,transporter brothel drugdealer boxer massage stolenmoney crimeboss dancecontest junkyard kamikaze ambiguousending briefcase redemption heirloom pulpfiction referencetoalgreen theft brutality,MiramaxFilms ABandApart JerseyFilms,UnitedStatesofAmerica,Pulp Fiction
3233,JimHenson FrankOz JerryNelson RichardHunt,Adventure Comedy Family,chicken musical frog puppet fame hollywood gonzo muppet kermit fozziebear kermitthefrog floyd drteeth misspiggy studebaker moviestar aftercreditsstinger,IncorporatedTelevisionCompany HensonAssociates(HA),UnitedStatesofAmerica,The Muppet Movie
3234,JakeGyllenhaal ReneRusso RizAhmed BillPaxton,Crime Drama Thriller,journalism underground tvstation sociopath homeinvasion carchase tvnews employeremployeerelationship ethics stringer,BoldFilms Sierra/Affinity,UnitedStatesofAmerica,Nightcrawler
3235,KevinHeffernan JayChandrasekhar PaulSoter ErikStolhanske,Comedy Horror,island machete beautifulwoman serialkiller murderhunt,FoxSearchlightPictures BrokenLizardIndustries CoconutPeteProductions,UnitedStatesofAmerica,Club Dread
3236,JulieAndrews ChristopherPlummer EleanorParker RichardHaydn,Drama Family Music Romance,resistance austria worldwarii musical musiccompetition salzburg basedonplay classic alps governess convent musiccontest novice puppetshow nuninlove nazioccupation 1930s,TwentiethCenturyFoxFilmCorporation RobertWiseProductions ArgyleEnterprises,UnitedStatesofAmerica,The Sound of Music
3237,TomHanks DarylHannah EugeneLevy JohnCandy,Comedy Fantasy Romance,bachelor mermaid,TouchstonePictures,UnitedStatesofAmerica,Splash
3238,GregKinnear ToniCollette SteveCarell PaulDano,Comedy Drama,california brothersisterrelationship wifehusbandrelationship family'sdailylife oscaraward highway professorforliterature beautycontest beautyqueencontest roadtrip familyrelationships familyholiday roadmovie womandirector beautypageant,FoxSearchlightPictures BonaFideProductions BigBeachFilms,UnitedStatesofAmerica,Little Miss Sunshine
3239,WilWheaton RiverPhoenix CoreyFeldman JerryO'Connell,Crime Drama,basedonnovel friendship comingofage railroadtrack storywithinthestory  flippingcoin campfirestory referencetosuperman normandybeach child 1950s boys,ColumbiaPictures ActIIICommunications TheBody ActIII,UnitedStatesofAmerica,Stand by Me
3240,CillianMurphy NaomieHarris NoahHuntley ChristopherDunne,Horror Thriller ScienceFiction,londonengland manchestercity submachinegun gasstation survivor daughter zombie virus,DNAFilms BritishFilmCouncil,UnitedKingdom,28 Days Later
3241,MarquesHouston Omarion J-Boog Lil'Fizz,Drama,hip-hop danceperformance dance breakdance musical,,UnitedStatesofAmerica,You Got Served
3242,ClintEastwood PatrickMcGoohan RobertsBlossom JackThibeau,Crime Drama,prison basedonnovel island mouse alcatraz biography prisonwarden escapeeconvict pubichair escapefromprison dummy inmate nudefight 1960s,ParamountPictures MalpasoCompany,UnitedStatesofAmerica,Escape from Alcatraz
3243,SanaaLathan TayeDiggs YasiinBey QueenLatifah,Comedy Romance,,,,Brown Sugar
3244,LynnWhitfield MartinLawrence ReginaKing DellaReese,Comedy Thriller Crime Romance,revenge africanamerican dating,NewLineCinema SavoyPictures,UnitedStatesofAmerica,A Thin Line Between Love and Hate
3245,JosephGordon-Levitt SethRogen AnnaKendrick BryceDallasHoward,Comedy Drama,painter fathersonrelationship therapist cancer psychologist bestfriend doctor patient vomiting driver'slicense chemotherapy therapistpatientrelationship,SummitEntertainment MandatePictures,UnitedStatesofAmerica,50/50
3246,JoshuaJackson RachaelTaylor MegumiOkina DavidDenman,Horror Mystery Thriller,japan suicide photographer honeymoon nightmare ghostbuster ghostworld photography remake revenge roadaccident wedding caraccident spirit death ghost hitbyacar fashionmodel shadow magazineeditor,RegencyEnterprises VertigoEntertainment OzlaPictures NewRegencyPictures,UnitedStatesofAmerica,Shutter
3247,ZacEfron MilesTeller MichaelB.Jordan ImogenPoots,Comedy Romance,malefriendship friendship dating relationship duringcreditsstinger youngadult,TreehousePictures,UnitedStatesofAmerica,That Awkward Moment
3248,ChevyChase PattiD'Arbanville DabneyColeman MaryKayPlace,Comedy,,,,Modern Problems
3249,MahershalaAli KofiSiriboe ChristopherMeyer NatalieStephanyAguilar,Adventure,blowjob cigarettesmoking illegaldrugs smokingweed shoes,BystormFilms AnimalKingdom BowandArrowEntertainment,UnitedStatesofAmerica,Kicks
3250,KennethBranagh RichardBriers MichaelKeaton RobertSeanLeonard,Drama Comedy Romance,shakespeare bachelor newlove rageandhate lover wedding intrigue,RenaissanceFilms AmericanPlayhouseTheatricalFilms,UnitedKingdom UnitedStatesofAmerica,Much Ado About Nothing
3251,GeorgeLazenby DianaRigg TellySavalas GabrieleFerzetti,Adventure Action Thriller,londonengland suicide england switzerland secretidentity newidentity honeymoon secretmission secretorganization secretlab villain kilt familyhistory titleofnobility snowstorm daughter espionage killer britishsecretservice skiing alps aftercreditsstinger,UnitedArtists EonProductions Danjaq,UnitedKingdom UnitedStatesofAmerica,On Her Majesty's Secret Service
3252,HeatherLangenkamp RobertEnglund MikoHughes WesCraven,Horror Thriller Mystery Fantasy,fire kidnapping nightmare earthquake insomnia supernatural celebrity mascot alternatedimension fame hospital hollywood storytelling alternatereality self-referential reboot filmindustry disfigurement sleepwalking metafilm dreams cameos,NewLineCinema,UnitedStatesofAmerica,New Nightmare
3253,MelissaJoanHart StephenCollins AdrianGrenier SusanMayPratt,Drama Comedy Romance Family,highschool prom nextdoorneighbor,TwentiethCenturyFoxFilmCorporation GrandMarchProductions AmyRobinsonProductions,UnitedStatesofAmerica,Drive Me Crazy
3254,KekePalmer LaurenceFishburne AngelaBassett CurtisArmstrong,Drama,blackpeople spelling spellingbee,LionsGateFilms 2929Productions OutoftheBlue...Entertainment StarbucksEntertainment CinemaGypsyProductions,UnitedStatesofAmerica,Akeelah and the Bee
3255,DaveChappelle TommyChong HarlandWilliams GuillermoDíaz,Comedy Crime,smoking company marijuana drug womandirector,UniversalPictures,UnitedStatesofAmerica,Half Baked
3256,RenéeZellweger HarryConnickJr. J.K.Simmons SiobhanFallon,Comedy,minnesota smalltown economy plants vegetarian love ruralsetting labor manufacturing middleamerica rube icefishing,Lionsgate EdmondsEntertainmentGroup(EEG) EpidemicPictures TheSafranCompany GoldCircleFilms,Canada UnitedStatesofAmerica,New in Town
3257,ChristianBale WillemDafoe JaredLeto JoshLucas,Thriller Drama Crime,basedonnovel wallstreet psychopath whitecollar harvardbusinessschool childofdivorce unreliablenarrator womandirector voiceimitation,LionsGateFilms EdwardR.PressmanFilm MuseProductions,Canada UnitedStatesofAmerica,American Psycho
